"STUDY_ID","REVIEWERS","INCLUDE","AU","TI","SO","PY","DI","AB","screen_status"
"26","Elise","not vetted","Friedenberg, NA; Hoover, JJ; Boysen, K; Killgore, KJ","Estimating abundance without recaptures of marked pallid sturgeon in the Mississippi River","CONSERVATION BIOLOGY","2018","10.1111/cobi.12972","Abundance estimates are essential for assessing the viability of populations and the risks posed by alternative management actions. An effort to estimate abundance via a repeated mark-recapture experiment may fail to recapture marked individuals. We devised a method for obtaining lower bounds on abundance in the absence of recaptures for both panmictic and spatially structured populations. The method assumes few enough recaptures were expected to be missed by random chance. The upper Bayesian credible limit on expected recaptures allows probabilistic statements about the minimum number of individuals present in the population. We applied this method to data from a 12-year survey of pallid sturgeon (Scaphirhynchus albus) in the lower and middle Mississippi River (U.S.A.). None of the 241 individuals marked was recaptured in the survey. After accounting for survival and movement, our model-averaged estimate of the total abundance of pallid sturgeon >= 3 years old in the study area had a 1%, 5%, or 25% chance of being <4,600, 7,000, or 15,000, respectively. When we assumed fish were distributed in proportion to survey catch per unit effort, the farthest downstream reach in the survey hosted at least 4.5-15 fish per river kilometer (rkm), whereas the remainder of the reaches in the lower and middle Mississippi River hosted at least 2.6-8.5 fish/rkm for all model variations examined. The lower Mississippi River had an average density of pallid sturgeon >= 3 years old of at least 3.0-9.8 fish/rkm. The choice of Bayesian prior was the largest source of uncertainty we considered but did not alter the order of magnitude of lower bounds. Nil-recapture estimates of abundance are highly uncertain and require careful communication but can deliver insights from experiments that might otherwise be considered a failure.","YES"
"27","Elise","not vetted","Bruce, LC; Frassl, MA; Arhonditsis, GB; Gal, G; Hamilton, DP; Hanson, PC; Hetherington, AL; Melack, JM; Read, JS; Rinke, K; Rigosi, A; Trolle, D; Winslow, L; Adrian, R; Ayala, AI; Bocaniov, SA; Boehrer, B; Boon, C; Brookes, JD; Bueche, T; Busch, BD; Copetti, D; Cortes, A; de Eyto, E; Elliott, JA; Gallina, N; Gilboa, Y; Guyennon, N; Huang, L; Kerimoglu, O; Lenters, JD; MacIntyre, S; Makler-Pick, V; McBride, CG; Moreira, S; Ozkundakci, D; Pilotti, M; Rueda, FJ; Rusak, JA; Samal, NR; Schmid, M; Shatwell, T; Snorthheim, C; Soulignac, F; Valerio, G; van der Linden, L; Vetter, M; Vincon-Leite, B; Wang, JB; Weber, M; Wickramaratne, C; Woolway, RI; Yao, HX; Hipsey, MR","A multi-lake comparative analysis of the General Lake Model (GLM): Stress-testing across a global observatory network","ENVIRONMENTAL MODELLING & SOFTWARE","2018","10.1016/j.envsoft.2017.11.016","The modelling community has identified challenges for the integration and assessment of lake models due to the diversity of modelling approaches and lakes. In this study, we develop and assess a one-dimensional lake model and apply it to 32 lakes from a global observatory network. The data set included lakes over broad ranges in latitude, climatic zones, size, residence time, mixing regime and trophic level. Model performance was evaluated using several error assessment metrics, and a sensitivity analysis was conducted for nine parameters that governed the surface heat exchange and mixing efficiency. There was low correlation between input data uncertainty and model performance and predictions of temperature were less sensitive to model parameters than prediction of thermocline depth and Schmidt stability. The study provides guidance to where the general model approach and associated assumptions work, and cases where adjustments to model parameterisations and/or structure are required. (c) 2017 Published by Elsevier Ltd.","NO"
"28","Elise","not vetted","Olajos, F; Bokma, F; Bartels, P; Myrstener, E; Rydberg, J; Ohlund, G; Bindler, R; Wang, XR; Zale, R; Englund, G","Estimating species colonization dates using DNA in lake sediment","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.12890","Detection of DNA in lake sediments holds promise as a tool to study processes like extinction, colonization, adaptation and evolutionary divergence. However, low concentrations make sediment DNA difficult to detect, leading to high false negative rates. Additionally, contamination could potentially lead to high false positive rates. Careful laboratory procedures can reduce false positive and negative rates, but should not be assumed to completely eliminate them. Therefore, methods are needed that identify potential false positive and negative results, and use this information to judge the plausibility of different interpretations of DNA data from natural archives. We developed a Bayesian algorithm to infer the colonization history of a species using records of DNA from lake-sediment cores, explicitly labelling some observations as false positive or false negative. We illustrate the method by analysing DNA of whitefish (Coregonus lavaretus L.) from sediment cores covering the past 10,000years from two central Swedish lakes. We provide the algorithm as an R-script, and the data from this study as example input files. In one lake, Stora Logdasjon, where connectivity with the proto-Baltic Sea and the degree of whitefish ecotype differentiation suggested colonization immediately after deglaciation, DNA was indeed successfully recovered and amplified throughout the post-glacial sediment. For this lake, we found no loss of detection probability over time, but a high false negative rate. In the other lake, Hotagen, where connectivity and ecotype differentiation suggested colonization long after deglaciation, DNA was amplified only in the upper part of the sediment, and colonization was estimated at 2,200bp based on the assumption that successful amplicons represent whitefish presence. Here the earliest amplification represents a false positive with a posterior probability of 41%, which increases the uncertainty in the estimated time of colonization. Complementing careful laboratory procedures aimed at preventing contamination, our method estimates contamination rates from the data. By combining these results with estimates of false negative rates, our models facilitate unbiased interpretation of data from natural DNA archives.","NO"
"29","Elise","not vetted","Petracca, LS; Frair, JL; Cohen, JB; Calderon, AP; Carazo-Salazar, J; Castaneda, F; Corrales-Gutierrez, D; Foster, RJ; Harmsen, B; Hernandez-Potosme, S; Herrera, L; Olmos, M; Pereira, S; Robinson, HS; Robinson, N; Salom-Perez, R; Urbina, Y; Zeller, KA; Quigley, H","Robust inference on large-scale species habitat use with interview data: The status of jaguars outside protected areas in Central America","JOURNAL OF APPLIED ECOLOGY","2018","10.1111/1365-2664.12972","1. Evaluating range-wide habitat use by a target species requires information on species occurrence over broad geographic regions, a process made difficult by species rarity, large spatiotemporal sampling domains and imperfect detection. We address these challenges in an assessment of habitat use for jaguars (Panthera onca) outside protected areas in Central America. 2. Occurrence records were acquired within 12 putative corridors using interviews with knowledgeable corridor residents. We developed a Bayesian hierarchical occupancy model to gain robust inference, allowing for heterogeneity introduced in the sampling process over space and time, using records of jaguar occurrence prone to false positives and false negatives. 3. Probability of false detection of jaguars increased with the number of interviews conducted per unit (from 5.42% to 7.74% given <4 and >= 4 observers per unit). True probability of detection (p=0.58) increased with the number of days interviewees spent in a survey unit per year. Failing to account for false positives biased predicted habitat use high (c. 1.8x), especially where occurrence records were sparse. 4. Probability of site use by jaguars increased with greater forest cover, prey richness, and distance from human settlements, and decreased with greater agricultural cover, elevation, and distance from protected areas. Site use probabilities averaged 0.15-0.97 by corridor, providing relatively fine-scale resolution of predicted jaguar occurrence consistent with known patterns of jaguar gene flow across Central America. 5. Model validation, accounting for both false positives and negatives in the observation process, indicated moderate correspondence between model-predicted observations and actual observations for withheld data (0.65, 95% CRI 0.59-0.71), with sensitivity and specificity rates of 0.69 (0.61-0.77) and 0.59 (0.50-0.68), respectively. These results demonstrate that reliable predictions can be achieved despite the complexity of large-scale, interview-based analyses of species occurrence. 6. Synthesis and applications. Our Bayesian hierarchical occupancy model accommodated heterogeneity caused by typical sampling inequities and idiosyncrasies associated with interview data, yielding robust estimates of jaguar habitat use. Our approach is applicable to any wide-ranging and readily identifiable species and has particular utility for rare species in human-dominated landscapes where traditional survey techniques (e.g. camera traps) may be impractical.","YES"
"30","Elise","not vetted","de Little, SC; Casas-Mulet, R; Patulny, L; Wand, J; Miller, KA; Fidler, F; Stewardson, MJ; Webb, JA","Minimising biases in expert elicitations to inform environmental management: Case studies from environmental flows in Australia","ENVIRONMENTAL MODELLING & SOFTWARE","2018","10.1016/j.envsoft.2017.11.020","Environmental managers often do not have sufficient empirical data to inform decisions, and instead must rely on expert predictions. However, the informal methods often used to gather expert opinions are prone to cognitive and motivational biases. We developed a structured elicitation protocol, where opinions are directly incorporated into Bayesian Network (BBN) models. The 4-stage protocol includes approaches to minimise biases during pre-elicitation, workshop facilitation and output analysis; and results in a fully functional BBN model. We illustrate our protocol using examples from environmental flow management in Australia, presenting models of vegetation responses to changes in riverine flow regimes. The reliance on expert opinion and the contested nature of many environmental management decisions mean that our structured elicitation protocol is potentially of great value for developing robust environmental recommendations. This method also lends itself to effective adaptive management, because the expert-populated ecological response models can be readily updated with field data. (c) 2017 Elsevier Ltd. All rights reserved.","YES"
"31","Elise","not vetted","DiRenzo, GV; Grant, EHC; Longo, AV; Che-Castaldo, C; Zamudio, KR; Lips, KR","Imperfect pathogen detection from non-invasive skin swabs biases disease inference","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.12868","1. Conservation managers rely on accurate estimates of disease parameters, such as pathogen prevalence and infection intensity, to assess disease status of a host population. However, these disease metrics may be biased if low-level infection intensities are missed by sampling methods or laboratory diagnostic tests. These false negatives underestimate pathogen prevalence and overestimate mean infection intensity of infected individuals. 2. Our objectives were two-fold. First, we quantified false negative error rates of Batrachochytrium dendrobatidis (Bd) on non-invasive skin swabs collected from an amphibian community in El Cope, Panama. We swabbed amphibians twice in sequence, and we used a recently developed hierarchical Bayesian estimator to assess disease status of the population. Second, we developed a novel hierarchical Bayesian model to simultaneously account for imperfect pathogen detection from field sampling and laboratory diagnostic testing. We evaluated the performance of the model, using simulations and varying sampling design to quantify the magnitude of bias in estimates of pathogen prevalence and infection intensity. 3. We show that Bd detection probability from skin swabs was related to host infection intensity, where Bd infections <10 zoospores have <95% probability of being detected. If imperfect Bd detection was not considered, then Bd prevalence was underestimated by as much as 71%. In the Bd-amphibian system, this indicates a need to correct for imperfect pathogen detection in enzootic host populations persisting with low-level infections. More generally, our results have implications for study designs in other disease systems, particularly those with similar objectives, biology, and sampling decisions. 4. Uncertainty in pathogen detection is an inherent property of most sampling protocols and diagnostic tests, where the magnitude of bias depends on the study system, type of infection, and false negative error rates. Given that it may be difficult to know this information in advance, we advocate that the most cautious approach is to assume all errors are possible and to accommodate them by adjusting sampling designs. The modelling framework presented here improves the accuracy in estimating pathogen prevalence and infection intensity.","MAYBE"
"32","Elise","not vetted","Myrgiotis, V; Rees, RM; Topp, CFE; Williams, M","A systematic approach to identifying key parameters and processes in agroecosystem models","ECOLOGICAL MODELLING","2018","10.1016/j.ecolmodel.2017.12.009","Process-based agroecosystem biogeochemistry models are widely used to quantify the flow of water and nutrients in agricultural ecosystems and they have become important tools in the effort to address the twin challenges of reducing greenhouse gas emissions and improving agricultural sustainability. Model parameters require careful calibration, as they affect the simulated processes and outputs. Sensitivity analysis (SA) is commonly used to quantify the impacts of parameters on outputs, and guide the calibration process. Here we demonstrate a systematic approach for SA, which assures that (1) the role of time-dependency in the sensitivity indices is considered and (2) the SA is not biased by the edapho-climatic conditions at individual sites. Demonstrating this approach, we examine the parametric sensitivity of an advanced agroecosystem model (Landscape-DNDC) using a framework that is based on (1) the Sobol SA method, (2) model simulations at three UK arable sites and (3) the grouping of the model's parameters according to the processes they affect. The findings of this research identify the parameters and processes that should be carefully examined in order to minimise the impact of parametric uncertainty on model outputs. We show that a limited number of parameters are responsible for a large part of the sensitivity of model outputs. The description of soil microbial dynamics is identified as a key source of output sensitivity. Also, we show that individual management activities can significantly affect the time-dependency of the parametric sensitivity indices for certain model outputs. (C) 2017 Elsevier B.V. All rights reserved.","NO"
"33","Elise","not vetted","Avila, R; Horn, B; Moriarty, E; Hodson, R; Moltchanova, E","Evaluating statistical model performance in water quality prediction","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2018","10.1016/j.jenvman.2017.11.049","Exposure to contaminated water while swimming or boating or participating in other recreational activities can cause gastrointestinal and respiratory disease. It is not uncommon for water bodies to experience rapid fluctuations in water quality, and it is therefore vital to be able to predict them accurately and in time so as to minimise population's exposure to pathogenic organisms. E. coli is commonly used as an indicator to measure water quality in freshwater, and higher counts of E. coil are associated with increased risk to illness. In this case study, we compare the performance of a wide range of statistical models in prediction of water quality via E. coli levels for the weekly data collected over the summer months from 2006 to 2014 at the recreational site on the Oreti river in Wallacetown, New Zealand. The models include naive model, multiple linear regression, dynamic regression, regression tree, Markov chain, classification tree, random forests, multinomial logistic regression, discriminant analysis and Bayesian network. The results show that Bayesian network was superior to all the other models. Overall, it had a leave-one-out and k-fold cross validation error rate of 21%, while predicting the majority of instances of E. coli levels classified as unsafe by the Microbiological Water Quality Guidelines for Marine and Freshwater Recreational Areas 2003, New Zealand. Because Bayesian networks are also flexible in handling missing data and outliers and allow for continuous updating in real time, we have found them to be a promising tool, and in the future, plan to extend the analysis beyond the current case study site. (C) 2017 Elsevier Ltd. All rights reserved.","NO"
"34","Elise","not vetted","Qiao, HJ; Peterson, AT; Ji, LQ; Hu, JH","Using data from related species to overcome spatial sampling bias and associated limitations in ecological niche modelling","METHODS IN ECOLOGY AND EVOLUTION","2017","10.1111/2041-210X.12832","1. Ecological niche modelling (ENM) is used widely to aid in conservation planning and management, often focusing on rare species characterized by the biased observations associated with restricted geographic ranges, habitat specialization, small population size and limited natural history information. Generating reliable ENMs for such species is a challenge, however, owing to issues that arise from spatial sampling bias, such as model inaccuracy and overfitting. Here, using virtual scenarios, we assess the utility of integrating occurrence data for closely related species with varying degrees of niche overlap into ENMs of focal species. 2. We consider two approaches to merge related and focal species models: integrating occurrences of focal and related species directly as inputs with which to generate ENMs, vs. creating ENMs based on occurrences of focal and related species separately and merging results based on Bayesian inference approaches. 3. Both single, integrated models and Bayesian inference approaches performed better than models based on focal species only when niche overlap between the focal and related species was large, across ENM algorithms examined. While assessing sensitivity and specificity separately, the performances of the two integration approaches over different ENM algorithms were complicated. 4. The results of the study offer a novel way forward in managing the challenge of creating useful, predictive models even for the rarest species, taking advantage of the reasonably general property of niche conservatism over small-to-moderate amounts of evolutionary time.","MAYBE"
"35","Elise","not vetted","Wright, WJ; Irvine, KM; Warren, JM; Barnett, JK","Statistical design and analysis for plant cover studies with multiple sources of observation errors","METHODS IN ECOLOGY AND EVOLUTION","2017","10.1111/2041-210X.12825","1. Effective wildlife habitat management and conservation requires understanding the factors influencing distribution and abundance of plant species. Field studies, however, have documented observation errors in visually estimated plant cover including measurements which differ from the true value (measurement error) and not observing a species that is present within a plot (detection error). Unlike the rapid expansion of occupancy and N-mixture models for analysing wildlife surveys, development of statistical models accounting for observation error in plants has not progressed quickly. Our work informs development of a monitoring protocol for managed wetlands within the National Wildlife Refuge System. 2. Zero-augmented beta (ZAB) regression is the most suitable method for analysing areal plant cover recorded as a continuous proportion but assumes no observation errors. We present a model extension that explicitly includes the observation process thereby accounting for both measurement and detection errors. Using simulations, we compare our approach to a ZAB regression that ignores observation errors (naive model) and an ad hoc approach using a composite of multiple observations per plot within the naive model. We explore how sample size and within-season revisit design affect the ability to detect a change in mean plant cover between 2years using our model. 3. Explicitly modelling the observation process within our framework produced unbiased estimates and nominal coverage of model parameters. The naive and ad hoc approaches resulted in underestimation of occurrence and overestimation of mean cover. The degree of bias was primarily driven by imperfect detection and its relationship with cover within a plot. Conversely, measurement error had minimal impacts on inferences. We found >30 plots with at least three within-season revisits achieved reasonable posterior probabilities for assessing change in mean plant cover. 4. For rapid adoption and application, code for Bayesian estimation of our single-species ZAB with errors model is included. Practitioners utilizing our R-based simulation code can explore trade-offs among different survey efforts and parameter values, as we did, but tuned to their own investigation. Less abundant plant species of high ecological interest may warrant the additional cost of gathering multiple independent observations in order to guard against erroneous conclusions.","MAYBE"
"36","Elise","not vetted","Steger, C; Butt, B; Hooten, MB","Safari Science: assessing the reliability of citizen science data for wildlife surveys","JOURNAL OF APPLIED ECOLOGY","2017","10.1111/1365-2664.12921","1. Protected areas are the cornerstone of global conservation, yet financial support for basic monitoring infrastructure is lacking in 60% of them. Citizen science holds potential to address these shortcomings in wildlife monitoring, particularly for resource-limited conservation initiatives in developing countries - if we can account for the reliability of data produced by volunteer citizen scientists (VCS). 2. This study tests the reliability of VCS data vs. data produced by trained ecologists, presenting a hierarchical framework for integrating diverse datasets to assess extra variability from VCS data. 3. Our results show that while VCS data are likely to be overdispersed for our system, the overdispersion varies widely by species. We contend that citizen science methods, within the context of East African drylands, may be more appropriate for species with large body sizes, which are relatively rare, or those that form small herds. VCS perceptions of the charisma of a species may also influence their enthusiasm for recording it. 4. Tailored programme design (such as incentives for VCS) may mitigate the biases in citizen science data and improve overall participation. However, the cost of designing and implementing high-quality citizen science programmes may be prohibitive for the small protected areas that would most benefit from these approaches. 5. Synthesis and applications. As citizen science methods continue to gain momentum, it is critical that managers remain cautious in their implementation of these programmes while working to ensure methods match data purpose. Context-specific tests of citizen science data quality can improve programme implementation, and separate data models should be used when volunteer citizen scientists' variability differs from trained ecologists' data. Partnerships across protected areas and between protected areas and other conservation institutions could help to cover the costs of citizen science programme design and implementation.","NO"
"37","Elise","not vetted","Wenger, SJ; Leasure, DR; Dauwalter, DC; Peacock, MM; Dunham, JB; Chelgren, ND; Neville, HM","Viability analysis for multiple populations","BIOLOGICAL CONSERVATION","2017","10.1016/j.biocon.2017.10.006","Many species of conservation interest exist solely or largely in isolated populations. Ideally, prioritization of management actions among such populations would be guided by quantitative estimates of extinction risk, but conventional methods of demographic population viability analysis (PVA) model each population separately and require temporally extensive datasets that are rarely available in practice. We introduce a general class of statistical PVA that can be applied to many populations at once, which we term multiple population viability analysis or MPVA. The approach combines models of abundance at multiple spatial locations with temporal models of population dynamics, effectively borrowing information from more data-rich populations to inform inferences for data-poor populations. Covariates are used to explain population variability in space and time. Using Bayesian analysis, we illustrate the method with a dataset of Lahontan cutthroat trout (Oncorhynchus clarkii henshawi) observations that previously had been analyzed with conventional PVA. We find that MPVA predictions are similar in bias and higher in precision than predictions from simple PVA models that treat each population individually; moreover, the use of covariates in MPVA allows for predictions in minimally-sampled and unsampled populations. The basic MPVA model can be extended in multiple ways, such as by linking to a sampling and observation model to provide a full accounting of uncertainty. We conclude that the approach has great potential to expand the use of PVA for species that exist in multiple, isolated populations.","NO"
"38","Elise","not vetted","Humphreys, JM; Elsner, JB; Jagger, TH; Pau, S","A Bayesian geostatistical approach to modeling global distributions of Lygodium microphyllum under projected climate warming","ECOLOGICAL MODELLING","2017","10.1016/j.ecolmodel.2017.09.005","Species distribution modeling aimed at forecasting the spread of invasive species under projected global warming offers land managers an important tool for assessing future ecological risk and for prioritizing management actions. The current study applies Bayesian inference and newly available geostatistical tools to forecast global range expansion for the ecosystem altering invasive climbing fern Lygodium microphyllum. The presented modeling framework emphasizes the need to account for spatial processes at both the individual and aggregate levels, the necessity of modeling non-linear responses to environmental gradients, and the explanatory power of biotic covariates. Results indicate that L. microphyllum will undergo global range expansion in concert with anthropogenic global warming and that the species is likely temperature and dispersal limited. Predictions are undertaken for current and future climate conditions assuming both limited and unlimited dispersal scenarios. (C) 2017 Elsevier B.V. All rights reserved.","MAYBE"
"39","Elise","not vetted","Vanderwel, MC; Rozendaal, DMA; Evans, MEK","Predicting the abundance of forest types across the eastern United States through inverse modelling of tree demography","ECOLOGICAL APPLICATIONS","2017","10.1002/eap.1596/full","Global environmental change is expected to induce widespread changes in the geographic distribution and biomass of forest communities. Impacts have been projected from both empirical (statistical) and mechanistic (physiology-based) modelling approaches, but there remains an important gap in accurately predicting abundance across species' ranges from spatial variation in individual-level demographic processes. We address this issue by using a cohort-based forest dynamics model (CAIN) to predict spatial variation in the abundance of six plant functional types (PFTs) across the eastern United States. The model simulates tree-level growth, mortality, and recruitment, which we parameterized from data on both individual-level demographic rates and population-level abundance using Bayesian inverse modelling. Across a set of 1 degrees grid cells, we calibrated local growth, mortality, and recruitment rates for each PFT to obtain a close match between predicted age-specific PFT basal area in forest stands and that observed in 46,603 Forest Inventory and Analysis plots. The resulting models produced a strong fit to PFT basal area across the region (R-2 = 0.66-0.87), captured successional changes in PFT composition with stand age, and predicted the overall stem diameter distribution well. The mortality rates needed to accurately predict basal area were consistently higher than observed mortality, possibly because sampling effects led to biased individual-level mortality estimates across spatially heterogeneous plots. Growth and recruitment rates did not show consistent directional changes from observed values. Relative basal area was most strongly influenced by recruitment processes, but the effects of growth and mortality tended to increase as stands matured. Our study illustrates how both top-down (population-level) and bottom-up (individual-level) data can be combined to predict variation in abundance from size, environmental, and competitive effects on tree demography. Evidence for how demographic processes influence variation in abundance, as provided by our model, can help in understanding how these forests may respond to future environmental change.","NO"
"40","Elise","not vetted","Zhao, Q; Boomer, GS; Silverman, E; Fleming, K","Accounting for the temporal variation of spatial effect improves inference and projection of population dynamics models","ECOLOGICAL MODELLING","2017","10.1016/j.ecolmodel.2017.07.019","Population dynamics models incorporating density dependence and habitat heterogeneity are useful tools to explain and project the spatiotemporal variation of wildlife abundance. Despite their wide application in ecology and conservation biology, the inference and projection of these models may be problematic when residual spatial auto correlation (SAC) is found. We aimed to improve the inference and projection of population dynamics models by accounting for residual SAC. We considered three Gompertz models that incorporated density dependence and the effect of wetland habitat to explain and project the abundance of Mallard (Anas platyrhynchos). We compared a conventional model that did not account for residual SAC (ENV) with two novel models accounting for residual SAC, one incorporating a spatial effect (a spatially autocorrelated process error) that did not vary over time (STA) and the other incorporating a spatial effect that varied over time (DYN). We evaluated model inference using data from 1974 to 1998 and projection using data from 1999 to 2010. We then forecasted Mallard abundance from 2011 to 2100 under different levels of wetland habitat loss. The DYN model eliminated residual SAC and had better model fit than the ENV and STA models (Delta(D) over bar = 2498.3 and 1988.8, respectively). The projection coverage rate of the DYN model was the closest to the nominal value among the three models. The DYN model forecasted smaller areas with decrease in Mallard abundance under future wetland habitat loss than the ENV and STA models. The novel and conventional population dynamics models we considered in this study, combined with the practical model evaluation approach, can provide reliable inference and projection of wildlife abundance, and thus have wide application in ecological studies and conservation practices that aim to understand and project the spatiotemporal variation of wildlife abundance under environmental changes. In particular, when conservation decision-making is based on model projections, the DYN may be used to minimize the risk of reducing conservation effort in areas that still have high conservation value, due to its favorable projection performance. (C) 2017 Elsevier B.V. All rights reserved.","MAYBE"
"41","Elise","not vetted","Landry, C; Bonnot, F; Ravigne, V; Carlier, J; Rengifo, D; Vaillant, J; Abadie, C","A foliar disease simulation model to assist the design of new control methods against black leaf streak disease of banana","ECOLOGICAL MODELLING","2017","10.1016/j.ecolmodel.2017.05.009","Black leaf streak disease (BLSD), caused by the fungal pathogen Mycosphaerella fifiensis, is considered as the most destructive foliar disease of banana. To advance our knowledge of the dynamics of the disease at plant scale as well as of the components of varietal resistance, we designed, calibrated and evaluated a mechanistic model to simulate the disease on a banana plant. The model runs in discrete time at plant scale and describes plant growth and pathogen dynamics under optimal epidemiological conditions. The model is divided into two modules: a deterministic plant sub-model that simulates the simplified architecture and growth of the banana, and a pathogen sub-model that simulates the detailed life cycle of the pathogen including infection, lesion growth, asexual and sexual sporulation, and the dispersal of spores on the plant. The three most influential epidemiological parameters identified by sensitivity analysis of the model (lesion growth rate, infection efficiency, and incubation period) were estimated in a Bayesian framework using Markov chain Monte Carlo methods and acquired data on the dynamics of leaf lesions under natural conditions. The posterior densities provided precise knowledge on pathogen life history traits. The evaluation of the model using an independent data set confirmed the good quality of the predictions. Simulations allowed us to evaluate the impact of host resistance components, auto infection at plant scale, and of the leaf emergence rate, which is linked with cropping practices, on the severity of BLSD. This foliar disease simulation model will help design new methods of controlling BLSD. (C) 2017 Elsevier B.V. All rights reserved.","NO"
"42","Elise","not vetted","Guillera-Arroita, G; Lahoz-Monfort, JJ; van Rooyen, AR; Weeks, AR; Tingley, R","Dealing with false-positive and false-negative errors about species occurrence at multiple levels","METHODS IN ECOLOGY AND EVOLUTION","2017","10.1111/2041-210X.12743","1. Accurate knowledge of species occurrence is fundamental to a wide variety of ecological, evolutionary and conservation applications. Assessing the presence or absence of species at sites is often complicated by imperfect detection, with different mechanisms potentially contributing to false-negative and/or false-positive errors at different sampling stages. Ambiguities in the data mean that estimation of relevant parameters might be confounded unless additional information is available to resolve those uncertainties. 2. Here, we consider the analysis of species detection data with false-positive and false-negative errors at multiple levels. We develop and examine a two-stage occupancy-detection model for this purpose. We use profile likelihoods for identifiability analysis and estimation, and study the types of additional data required for reliable estimation. We test the model with simulated data, and then analyse data from environmental DNA (eDNA) surveys of four Australian frog species. In our case study, we consider that false positives may arise due to contamination at the water sample and quantitative PCR-sample levels, whereas false negatives may arise due to eDNA not being captured in a field sample, or due to the sensitivity of laboratory tests. We augment our eDNA survey data with data from aural surveys and laboratory calibration experiments. 3. We demonstrate that the two-stage model with false-positive and false-negative errors is not identifiable if only survey data prone to false positives are available. At least two sources of extra information are required for reliable estimation (e.g. records from a survey method with unambiguous detections, and a calibration experiment). Alternatively, identifiability can be achieved by setting plausible bounds on false detection rates as prior information in a Bayesian setting. The results of our case study matched our simulations with respect to data requirements, and revealed false-positive rates greater than zero for all species. 4. We provide statistical modelling tools to account for uncertainties in species occurrence survey data when false negatives and false positives could occur at multiple sampling stages. Such data are often needed to support management and policy decisions. Dealing with these uncertainties is relevant for traditional survey methods, but also for promising new techniques, such as eDNA sampling.","YES"
"43","Elise","not vetted","Marcot, BG","Common quandaries and their practical solutions in Bayesian network modeling","ECOLOGICAL MODELLING","2017","10.1016/j.ecolmodel.2017.05.011","Use and popularity of Bayesian network (BN) modeling has greatly expanded in recent years, but many common problems remain. Here, I summarize key problems in BN model construction and interpretation, along with suggested practical solutions. Problems in BN model construction include parameterizing probability values, variable definition, complex network structures, latent and confounding variables, outlier expert judgments, variable correlation, model peer review, tests of calibration and validation, model overfitting, and modeling wicked problems. Problems in BN model interpretation include objective creep, misconstruing variable influence, conflating correlation with causation, conflating proportion and expectation with probability, and using expert opinion. Solutions are offered for each problem and researchers are urged to innovate and share further solutions. Published by Elsevier B.V.","YES"
"44","Elise","not vetted","Woolley, SNC; Foster, SD; O'Hara, TD; Wintle, BA; Dunstan, PK","Characterising uncertainty in generalised dissimilarity models","METHODS IN ECOLOGY AND EVOLUTION","2017","10.1111/2041-210X.12710","1. Generalised dissimilarity modelling (GDM) is a statistical method for analysing and predicting patterns of turnover in species composition, usually in response to environmental gradients that vary in space and time. GDM is becoming widely applied in ecology and conservation science to interpret macro-ecological and biogeographical patterns, to support conservation assessment, predict changes in species distributions under climate change and prioritise biological surveys. 2. Inferential and predictive uncertainty is difficult to characterise using current implementations of GDM, reducing the utility of GDM in ecological risk assessment and conservation decision-making. Current practice is to undertake permutation tests to assess the importance of variables in GDM. Permutation testing overcomes the issue of data-dependence (because dissimilarities are calculated on a smaller number of observations) but it does not give a quantification of uncertainty in predictions. Here, we address this issue by utilising the Bayesian bootstrap, so that the uncertainty in the observations is carried through the entire analysis (including into the predictions). 3. We tested our Bayesian bootstrap GDM (BBGDM) approach on simulated data sets and two benthic species data sets. We fitted BBGDMs and GDMs to compare the differences in inference and prediction of compositional turnover that resulted from a coherent treatment of model uncertainty. We showed that our BBGDM approach correctly identified the signal within the data, resulting in an improved characterisation of uncertainty and enhanced model-based inference. 4. We show that our approach gives appropriate parameter estimates while better representing the underlying uncertainty that arises when conducting inference and making predictions with GDMs. Our approach to fitting GDMs will provide more realistic insights intoparameter and prediction uncertainty.","NO"
